"Record.ID","s","word","accuracy"
"BUBA084","spa","wheelchair",1
"BUBA084","spa","camel",0
"BUBA084","spa","mask",1
"BUBA084","spa","pretzel",1
"BUBA084","spa","bench",0
"BUBA084","spa","racquet",0
"BUBA084","spa","snail",0
"BUBA084","spa","volcano",1
"BUBA084","spa","seahorse",1
"BUBA084","spa","dart",0
"BUBA084","spa","canoe",0
"BUBA084","spa","globe",0
"BUBA084","spa","wreath",0
"BUBA084","spa","beaver",0
"BUBA084","spa","harmonica",0
"BUBA084","spa","rhinoceros",1
"BUBA084","spa","acorn",0
"BUBA084","spa","igloo",0
"BUBA084","spa","stilts",0
"BUBA084","spa","dominos",1
"BUBA084","spa","cactus",0
"BUBA084","spa","escalator",1
"BUBA084","spa","harp",0
"BUBA084","spa","hammock",0
"BUBA084","spa","knocker",0
"BUBA084","spa","pelican",1
"BUBA084","spa","stethoscope",0
"BUBA084","spa","pyramid",1
"BUBA084","spa","muzzle",0
"BUBA084","spa","unicorn",0
"BUBA084","spa","funnel",0
"BUBA084","spa","accordion",0
"BUBA084","spa","noose",0
"BUBA084","spa","asparagus",0
"BUBA084","spa","compass.1",0
"BUBA084","spa","latch.1",0
"BUBA084","spa","tripod",0
"BUBA084","spa","scoll",0
"BUBA084","spa","tongs",0
"BUBA084","spa","sphinx",0
"BUBA084","spa","yoke",0
"BUBA084","spa","trellis",0
"BUBA084","spa","palette",0
"BUBA084","spa","protractor",0
"BUBA084","spa","abacus",0
"BUBA085","spa","bed",1
"BUBA085","spa","tree",1
"BUBA085","spa","pencil",1
"BUBA085","spa","house",1
"BUBA085","spa","whistle",1
"BUBA085","spa","scissors",1
"BUBA085","spa","comb",0
"BUBA085","spa","flower",1
"BUBA085","spa","saw",0
"BUBA085","spa","toothbrush",1
"BUBA085","spa","helicopter",0
"BUBA085","spa","broom",1
"BUBA085","spa","octopus",0
"BUBA085","spa","mushroom",1
"BUBA085","spa","hanger",0
"BUBA085","spa","wheelchair",1
"BUBA085","spa","camel",1
"BUBA085","spa","mask",1
"BUBA085","spa","pretzel",1
"BUBA085","spa","bench",1
"BUBA085","spa","racquet",1
"BUBA085","spa","snail",1
"BUBA085","spa","volcano",0
"BUBA085","spa","seahorse",0
"BUBA085","spa","dart",0
"BUBA085","spa","canoe",1
"BUBA085","spa","globe",1
"BUBA085","spa","wreath",0
"BUBA085","spa","beaver",0
"BUBA085","spa","harmonica",1
"BUBA085","spa","rhinoceros",0
"BUBA085","spa","acorn",0
"BUBA085","spa","igloo",0
"BUBA085","spa","stilts",0
"BUBA085","spa","dominos",1
"BUBA085","spa","cactus",1
"BUBA085","spa","escalator",0
"BUBA085","spa","harp",1
"BUBA085","spa","hammock",0
"BUBA085","spa","knocker",0
"BUBA085","spa","pelican",1
"BUBA085","spa","stethoscope",0
"BUBA085","spa","pyramid",1
"BUBA085","spa","muzzle",0
"BUBA085","spa","unicorn",1
"BUBA085","spa","funnel",0
"BUBA085","spa","accordion",0
"BUBA085","spa","noose",0
"BUBA085","spa","asparagus",1
"BUBA085","spa","compass.1",0
"BUBA085","spa","latch.1",0
"BUBA085","spa","tripod",0
"BUBA085","spa","scoll",0
"BUBA085","spa","tongs",0
"BUBA085","spa","sphinx",0
"BUBA085","spa","yoke",0
"BUBA085","spa","trellis",0
"BUBA085","spa","palette",0
"BUBA085","spa","protractor",0
"BUBA085","spa","abacus",0
"BUBA089","spa","bed",0
"BUBA089","spa","tree",0
"BUBA089","spa","pencil",0
"BUBA089","spa","house",1
"BUBA089","spa","whistle",1
"BUBA089","spa","scissors",0
"BUBA089","spa","comb",1
"BUBA089","spa","flower",0
"BUBA089","spa","saw",0
"BUBA089","spa","toothbrush",0
"BUBA089","spa","helicopter",0
