"Record.ID","e","word","accuracy"
"BUBA061","eng","escalator",1
"BUBA061","eng","harp",1
"BUBA061","eng","hammock",1
"BUBA061","eng","knocker",1
"BUBA061","eng","pelican",0
"BUBA061","eng","stethoscope",1
"BUBA061","eng","pyramid",1
"BUBA061","eng","muzzle",0
"BUBA061","eng","unicorn",1
"BUBA061","eng","funnel",0
"BUBA061","eng","accordion",0
"BUBA061","eng","noose",1
"BUBA061","eng","asparagus",1
"BUBA061","eng","compass",0
"BUBA061","eng","latch",0
"BUBA061","eng","tripod",0
"BUBA061","eng","scroll",0
"BUBA061","eng","tongs",0
"BUBA061","eng","sphinx",1
"BUBA061","eng","yoke",0
"BUBA061","eng","trellis",0
"BUBA061","eng","palette",1
"BUBA061","eng","protractor",0
"BUBA061","eng","abacus",1
"BUBA066","eng","bed",1
"BUBA066","eng","tree",1
"BUBA066","eng","pencil",0
"BUBA066","eng","house",0
"BUBA066","eng","whistle",1
"BUBA066","eng","scissors",1
"BUBA066","eng","comb",1
"BUBA066","eng","flower",1
"BUBA066","eng","saw",0
"BUBA066","eng","toothbrush",1
"BUBA066","eng","helicopter",1
"BUBA066","eng","broom",1
"BUBA066","eng","octopus",1
"BUBA066","eng","mushroom",0
"BUBA066","eng","hanger",0
"BUBA066","eng","wheelchair",0
"BUBA066","eng","camel",1
"BUBA066","eng","mask",0
"BUBA066","eng","pretzel",0
"BUBA066","eng","bench",0
"BUBA066","eng","raquet",0
"BUBA066","eng","snail",0
"BUBA066","eng","volcano",1
"BUBA066","eng","seahorse",0
"BUBA066","eng","dart",1
"BUBA066","eng","canoe",0
"BUBA066","eng","globe",1
"BUBA066","eng","wreath",0
"BUBA066","eng","beaver",1
"BUBA066","eng","harmonica",0
"BUBA066","eng","rhinoceros",0
"BUBA066","eng","acorn",0
"BUBA066","eng","igloo",0
"BUBA066","eng","stilts",0
"BUBA066","eng","dominos",0
"BUBA066","eng","cactus",0
"BUBA066","eng","escalator",1
"BUBA066","eng","harp",0
"BUBA066","eng","hammock",1
"BUBA066","eng","knocker",0
"BUBA066","eng","pelican",0
"BUBA066","eng","stethoscope",0
"BUBA066","eng","pyramid",0
"BUBA066","eng","muzzle",0
"BUBA066","eng","unicorn",0
"BUBA066","eng","funnel",0
"BUBA066","eng","accordion",0
"BUBA066","eng","noose",0
"BUBA066","eng","asparagus",0
"BUBA066","eng","compass",0
"BUBA066","eng","latch",0
"BUBA066","eng","tripod",0
"BUBA066","eng","scroll",0
"BUBA066","eng","tongs",0
"BUBA066","eng","sphinx",0
"BUBA066","eng","yoke",0
"BUBA066","eng","trellis",0
"BUBA066","eng","palette",0
"BUBA066","eng","protractor",0
"BUBA066","eng","abacus",0
"BUBA072","eng","bed",1
"BUBA072","eng","tree",1
"BUBA072","eng","pencil",1
"BUBA072","eng","house",1
"BUBA072","eng","whistle",1
"BUBA072","eng","scissors",0
"BUBA072","eng","comb",1
"BUBA072","eng","flower",1
"BUBA072","eng","saw",1
"BUBA072","eng","toothbrush",1
"BUBA072","eng","helicopter",0
"BUBA072","eng","broom",1
"BUBA072","eng","octopus",1
"BUBA072","eng","mushroom",0
"BUBA072","eng","hanger",1
"BUBA072","eng","wheelchair",1
"BUBA072","eng","camel",1
"BUBA072","eng","mask",1
"BUBA072","eng","pretzel",0
"BUBA072","eng","bench",0
